pair_type,euclidean_distance,hyperbolic_distance,distance_ratio,euclidean_level_diff,hyperbolic_level_diff
ancestor-descendant,0.524057,1.135860,2.167438,0.524057,1.135860
ancestor-descendant,0.406799,0.900362,2.213283,0.203400,0.450181
ancestor-descendant,0.285177,0.642138,2.251714,0.095059,0.214046
ancestor-descendant,0.379100,0.842721,2.222948,0.094775,0.210680
ancestor-descendant,0.452511,0.993849,2.196299,0.090502,0.198770
ancestor-descendant,0.356285,0.794703,2.230525,0.071257,0.158941
ancestor-descendant,0.313343,0.703072,2.243780,0.062669,0.140614
ancestor-descendant,0.264423,0.596844,2.257154,0.066106,0.149211
ancestor-descendant,0.237334,0.537256,2.263714,0.047467,0.107451
ancestor-descendant,0.304781,0.684617,2.246257,0.060956,0.136923
ancestor-descendant,0.324250,0.726496,2.240542,0.064850,0.145299
ancestor-descendant,0.324973,0.728044,2.240325,0.081243,0.182011
ancestor-descendant,0.346395,0.773741,2.233697,0.069279,0.154748
ancestor-descendant,0.432967,0.954133,2.203712,0.086593,0.190827
ancestor-descendant,0.260355,0.587927,2.258179,0.052071,0.117585
ancestor-descendant,0.269592,0.608155,2.255833,0.089864,0.202718
ancestor-descendant,0.300346,0.675033,2.247519,0.075086,0.168758
ancestor-descendant,0.226764,0.513871,2.266102,0.045353,0.102774
ancestor-descendant,0.359075,0.800601,2.229617,0.071815,0.160120
ancestor-descendant,0.328836,0.736314,2.239154,0.065767,0.147263
ancestor-descendant,0.398549,0.883270,2.216214,0.099637,0.220817
ancestor-descendant,0.446625,0.981929,2.198555,0.089325,0.196386
ancestor-descendant,0.400705,0.887742,2.215452,0.080141,0.177548
ancestor-descendant,0.471216,1.031495,2.189006,0.094243,0.206299
ancestor-descendant,0.296967,0.667721,2.248469,0.074242,0.166930
ancestor-descendant,0.388211,0.861760,2.219824,0.077642,0.172352
ancestor-descendant,0.327571,0.733607,2.239539,0.065514,0.146721
ancestor-descendant,0.257849,0.582429,2.258803,0.051570,0.116486
ancestor-descendant,0.343010,0.766548,2.234766,0.114337,0.255516
ancestor-descendant,0.293856,0.660981,2.249336,0.073464,0.165245
ancestor-descendant,0.271237,0.611750,2.255407,0.054247,0.122350
ancestor-descendant,0.256055,0.578492,2.259247,0.051211,0.115698
ancestor-descendant,0.378215,0.840866,2.223248,0.075643,0.168173
ancestor-descendant,0.327470,0.733392,2.239569,0.081868,0.183348
ancestor-descendant,0.331181,0.741329,2.238438,0.066236,0.148266
ancestor-descendant,0.266169,0.600665,2.256711,0.053234,0.120133
ancestor-descendant,0.381881,0.848540,2.222000,0.076376,0.169708
ancestor-descendant,0.384966,0.854987,2.220943,0.096241,0.213747
ancestor-descendant,0.433392,0.955002,2.203553,0.086678,0.191000
ancestor-descendant,0.460185,1.009338,2.193330,0.092037,0.201868
ancestor-descendant,0.399687,0.885630,2.215812,0.079937,0.177126
ancestor-descendant,0.573234,1.230294,2.146234,0.286617,0.615147
ancestor-descendant,0.599360,1.279385,2.134585,0.199787,0.426462
ancestor-descendant,0.594968,1.271185,2.136560,0.148742,0.317796
ancestor-descendant,0.591105,1.263955,2.138292,0.118221,0.252791
ancestor-descendant,0.588283,1.258663,2.139554,0.117657,0.251733
ancestor-descendant,0.628992,1.334150,2.121091,0.125798,0.266830
ancestor-descendant,0.582690,1.248149,2.142046,0.145673,0.312037
ancestor-descendant,0.689581,1.443090,2.092704,0.137916,0.288618
ancestor-descendant,0.680009,1.426150,2.097252,0.136002,0.285230
ancestor-descendant,0.613687,1.305985,2.128096,0.122737,0.261197
ancestor-descendant,0.610660,1.300384,2.129473,0.152665,0.325096
ancestor-descendant,0.606165,1.292048,2.131512,0.121233,0.258410
ancestor-descendant,0.701274,1.463643,2.087121,0.140255,0.292729
ancestor-descendant,0.638673,1.351830,2.116623,0.127735,0.270366
ancestor-descendant,0.749824,1.547367,2.063641,0.249941,0.515789
ancestor-descendant,0.850593,1.712928,2.013803,0.212648,0.428232
ancestor-descendant,0.825532,1.672774,2.026299,0.165106,0.334555
ancestor-descendant,0.946287,1.860204,1.965791,0.189257,0.372041
ancestor-descendant,0.822137,1.667284,2.027988,0.164427,0.333457
ancestor-descendant,0.695403,1.453342,2.089928,0.173851,0.363336
ancestor-descendant,0.684881,1.434785,2.094940,0.136976,0.286957
ancestor-descendant,0.736614,1.524844,2.070073,0.147323,0.304969
ancestor-descendant,0.833323,1.685329,2.022420,0.166665,0.337066
ancestor-descendant,0.692521,1.448271,2.091303,0.173130,0.362068
ancestor-descendant,0.636814,1.348444,2.117483,0.127363,0.269689
ancestor-descendant,0.568669,1.221639,2.148243,0.113734,0.244328
ancestor-descendant,0.572922,1.229704,2.146371,0.114584,0.245941
ancestor-descendant,0.593596,1.268620,2.137176,0.197865,0.422873
ancestor-descendant,0.622496,1.322228,2.124073,0.155624,0.330557
ancestor-descendant,0.604936,1.289764,2.132068,0.120987,0.257953
ancestor-descendant,0.657187,1.385352,2.108003,0.131437,0.277070
ancestor-descendant,0.604238,1.288468,2.132383,0.120848,0.257694
ancestor-descendant,0.614369,1.307245,2.127786,0.153592,0.326811
ancestor-descendant,0.652919,1.377657,2.109999,0.130584,0.275531
ancestor-descendant,0.701331,1.463744,2.087093,0.140266,0.292749
ancestor-descendant,0.504071,1.096736,2.175755,0.100814,0.219347
ancestor-descendant,0.667473,1.403811,2.103174,0.166868,0.350953
ancestor-descendant,0.684592,1.434272,2.095077,0.136918,0.286854
ancestor-descendant,0.700542,1.462361,2.087471,0.140108,0.292472
ancestor-descendant,0.643349,1.360332,2.114455,0.128670,0.272066
ancestor-descendant,0.643726,1.361017,2.114280,0.321863,0.680509
ancestor-descendant,0.594810,1.270890,2.136631,0.198270,0.423630
ancestor-descendant,0.586907,1.256080,2.140168,0.146727,0.314020
ancestor-descendant,0.576269,1.236035,2.144893,0.115254,0.247207
ancestor-descendant,0.607551,1.294621,2.130884,0.121510,0.258924
ancestor-descendant,0.667702,1.404222,2.103066,0.133540,0.280844
ancestor-descendant,0.540615,1.167950,2.160411,0.135154,0.291987
ancestor-descendant,0.574074,1.231884,2.145863,0.114815,0.246377
ancestor-descendant,0.560993,1.207034,2.151604,0.112199,0.241407
ancestor-descendant,0.523440,1.134659,2.167697,0.104688,0.226932
ancestor-descendant,0.601070,1.282572,2.133814,0.150268,0.320643
ancestor-descendant,0.558979,1.203193,2.152482,0.111796,0.240639
ancestor-descendant,0.679744,1.425680,2.097377,0.135949,0.285136
ancestor-descendant,0.713668,1.485265,2.081170,0.142734,0.297053
ancestor-descendant,0.733296,1.519157,2.071684,0.244432,0.506386
ancestor-descendant,0.717566,1.492028,2.079292,0.179391,0.373007
ancestor-descendant,0.736963,1.525443,2.069903,0.147393,0.305089
ancestor-descendant,0.673603,1.414756,2.100283,0.134721,0.282951
ancestor-descendant,0.695557,1.453613,2.089854,0.139111,0.290723
ancestor-descendant,0.819613,1.663193,2.029243,0.204903,0.415798
ancestor-descendant,0.716968,1.490992,2.079580,0.143394,0.298198
ancestor-descendant,0.930578,1.836672,1.973689,0.186116,0.367334
ancestor-descendant,0.884136,1.765631,1.997012,0.176827,0.353126
ancestor-descendant,0.629733,1.335506,2.120750,0.157433,0.333877
ancestor-descendant,0.571687,1.227364,2.146915,0.114337,0.245473
ancestor-descendant,0.681296,1.428433,2.096642,0.136259,0.285687
ancestor-descendant,0.618583,1.315023,2.125863,0.123717,0.263005
ancestor-descendant,0.728611,1.511106,2.073954,0.242870,0.503702
ancestor-descendant,0.670064,1.408442,2.101953,0.167516,0.352111
ancestor-descendant,0.678101,1.422762,2.098155,0.135620,0.284552
ancestor-descendant,0.758971,1.562851,2.059170,0.151794,0.312570
ancestor-descendant,0.672821,1.413362,2.100652,0.134564,0.282672
ancestor-descendant,0.783878,1.604547,2.046934,0.195970,0.401137
ancestor-descendant,0.899572,1.789489,1.989267,0.179914,0.357898
ancestor-descendant,0.853566,1.717646,2.012318,0.170713,0.343529
ancestor-descendant,0.839099,1.694595,2.019541,0.167820,0.338919
ancestor-descendant,0.783202,1.603424,2.047268,0.195800,0.400856
ancestor-descendant,0.783884,1.604557,2.046931,0.156777,0.320911
ancestor-descendant,0.800658,1.632257,2.038645,0.160132,0.326451
ancestor-descendant,0.714623,1.486924,2.080710,0.142925,0.297385
ancestor-descendant,0.570376,1.224878,2.147492,0.570376,1.224878
ancestor-descendant,0.615844,1.309970,2.127113,0.307922,0.654985
ancestor-descendant,0.683020,1.431490,2.095824,0.227673,0.477163
ancestor-descendant,0.736352,1.524395,2.070200,0.184088,0.381099
ancestor-descendant,0.797340,1.626802,2.040287,0.159468,0.325360
ancestor-descendant,0.760027,1.564632,2.058654,0.152005,0.312926
ancestor-descendant,0.827057,1.675237,2.025540,0.165411,0.335047
ancestor-descendant,0.731760,1.516519,2.072429,0.182940,0.379130
ancestor-descendant,0.655253,1.381868,2.108908,0.131051,0.276374
ancestor-descendant,0.795296,1.623436,2.041297,0.159059,0.324687
ancestor-descendant,0.731357,1.515827,2.072624,0.146271,0.303165
ancestor-descendant,0.613368,1.305395,2.128241,0.153342,0.326349
ancestor-descendant,0.553711,1.193120,2.154771,0.110742,0.238624
ancestor-descendant,0.487148,1.063272,2.182648,0.097430,0.212654
ancestor-descendant,0.613744,1.306090,2.128070,0.122749,0.261218
ancestor-descendant,0.568064,1.220491,2.148509,0.189355,0.406830
ancestor-descendant,0.528825,1.145131,2.165427,0.132206,0.286283
ancestor-descendant,0.562395,1.209707,2.150992,0.112479,0.241941
ancestor-descendant,0.574974,1.233586,2.145466,0.114995,0.246717
ancestor-descendant,0.589831,1.261568,2.138862,0.117966,0.252314
ancestor-descendant,0.503025,1.094676,2.176185,0.125756,0.273669
ancestor-descendant,0.511650,1.111622,2.172623,0.102330,0.222324
ancestor-descendant,0.506100,1.100726,2.174919,0.101220,0.220145
ancestor-descendant,0.520300,1.128538,2.169015,0.104060,0.225708
ancestor-descendant,0.696646,1.455527,2.089334,0.174162,0.363882
ancestor-descendant,0.806916,1.642514,2.035545,0.161383,0.328503
ancestor-descendant,0.692448,1.448142,2.091338,0.138490,0.289628
ancestor-descendant,0.732702,1.518137,2.071972,0.146540,0.303627
ancestor-descendant,0.630090,1.336160,2.120586,0.210030,0.445387
ancestor-descendant,0.772926,1.586296,2.052326,0.193231,0.396574
ancestor-descendant,0.878540,1.756921,1.999818,0.175708,0.351384
ancestor-descendant,0.733950,1.520279,2.071366,0.146790,0.304056
ancestor-descendant,0.733809,1.520038,2.071434,0.146762,0.304008
ancestor-descendant,0.693574,1.450126,2.090801,0.173394,0.362531
ancestor-descendant,0.748986,1.545944,2.064050,0.149797,0.309189
ancestor-descendant,0.736154,1.524057,2.070296,0.147231,0.304811
ancestor-descendant,0.721817,1.499387,2.077240,0.144363,0.299877
ancestor-descendant,0.693532,1.450051,2.090821,0.173383,0.362513
ancestor-descendant,0.787706,1.610895,2.045047,0.157541,0.322179
ancestor-descendant,0.744089,1.537614,2.066437,0.148818,0.307523
ancestor-descendant,0.633476,1.342351,2.119025,0.126695,0.268470
ancestor-descendant,0.289493,0.651516,2.250539,0.144747,0.325758
ancestor-descendant,0.248254,0.561337,2.261145,0.082751,0.187112
ancestor-descendant,0.260692,0.588668,2.258095,0.065173,0.147167
ancestor-descendant,0.346315,0.773572,2.233722,0.069263,0.154714
ancestor-descendant,0.336461,0.752600,2.236812,0.067292,0.150520
ancestor-descendant,0.330632,0.740156,2.238606,0.066126,0.148031
ancestor-descendant,0.227470,0.515435,2.265945,0.056868,0.128859
ancestor-descendant,0.303009,0.680790,2.246763,0.060602,0.136158
ancestor-descendant,0.226018,0.512217,2.266267,0.045204,0.102443
ancestor-descendant,0.245302,0.554836,2.261849,0.049060,0.110967
ancestor-descendant,0.369404,0.822370,2.226212,0.092351,0.205593
ancestor-descendant,0.382413,0.849653,2.221818,0.076483,0.169931
ancestor-descendant,0.317528,0.712071,2.242548,0.063506,0.142414
ancestor-descendant,0.418627,0.924750,2.209008,0.083725,0.184950
ancestor-descendant,0.191863,0.436160,2.273281,0.063954,0.145387
ancestor-descendant,0.247109,0.558816,2.261419,0.061777,0.139704
ancestor-descendant,0.180473,0.410646,2.275384,0.036095,0.082129
ancestor-descendant,0.344504,0.769723,2.234295,0.068901,0.153945
ancestor-descendant,0.160599,0.365967,2.278764,0.032120,0.073193
ancestor-descendant,0.127944,0.292160,2.283499,0.031986,0.073040
ancestor-descendant,0.138987,0.317171,2.282013,0.027797,0.063434
ancestor-descendant,0.194465,0.441977,2.272784,0.038893,0.088395
ancestor-descendant,0.112366,0.256801,2.285393,0.022473,0.051360
ancestor-descendant,0.205554,0.466730,2.270596,0.051388,0.116682
ancestor-descendant,0.282443,0.636188,2.252451,0.056489,0.127238
ancestor-descendant,0.194894,0.442936,2.272702,0.038979,0.088587
ancestor-descendant,0.306847,0.689076,2.245665,0.061369,0.137815
ancestor-descendant,0.401305,0.888986,2.215240,0.133768,0.296329
ancestor-descendant,0.397682,0.881470,2.216519,0.099421,0.220368
ancestor-descendant,0.431159,0.950442,2.204386,0.086232,0.190088
ancestor-descendant,0.474509,1.038084,2.187703,0.094902,0.207617
ancestor-descendant,0.491156,1.071225,2.181028,0.098231,0.214245
ancestor-descendant,0.392827,0.871376,2.218221,0.098207,0.217844
ancestor-descendant,0.370520,0.824719,2.225839,0.074104,0.164944
ancestor-descendant,0.365681,0.814535,2.227448,0.073136,0.162907
